"ENERGY STAR Unique ID","ENERGY STAR Partner","Brand Name","Model Name","Model Number","Additional Model Information","UPC","Product Type","Max Nameplate Output Current (A)","Input Voltage (V)","Maximum Output Power (kW)","Number of Outputs","Maximum Output Cord Length (ft.)","Output Cord Gauge (AWG)","Screen Area, if EVSE has high res display (in2)","Maximum (100%) Measured Luminance of the High Res Display (candelas per m2)","Automatic Brightness Control (ABC) Capable?","Connected Capable","DR Protocol","Connects Using","Protocols Used to Support Smart Charging","Network Security Standards","Is Broadband Internet Connection Needed for Demand Response?","Auxiliary Product Features","Product Features","Network Capability","Network Connection Types Available","No Vehicle Mode Input Power (watts)","No Vehicle Mode Total Allowance (watts)","No Vehicle Mode Power Factor","Partial On Mode Input Power (watts)","Partial On Mode Total Allowance (watts)","Partial On Mode Power Factor","Idle Mode Input Power (watts)","Idle Mode Total Allowance (watts)","Idle Mode Power Factor","Full Current Operation Mode Test: Total Loss (watts)","30 A Operation Mode Test: Total Loss (watts)","15 A Operation Mode Test: Total Loss (watts)","4 A Operation Mode Test: Total Loss (watts)","Dual Input Level 2: No Vehicle Mode Input Power (watts)","Dual Input No Vehicle Mode Total Allowance (watts)","Dual Input Level 2: No Vehicle Mode Power Factor","Dual Input Level 2: Partial On Mode Input Power (watts)","Dual Input Partial On Mode Total Allowance (watts)","Dual Input Level 2:  Partial On Mode Power Factor","Dual Input Level 2:  Idle Mode Input Power (watts)","Dual Input Idle Mode Total Allowance (watts)","Dual Input Level 2:  Idle Mode Power Factor","Dual Input Level 2: Full Current Operation Mode Test: Total Loss (watts)","Dual Input Level 2: 30 A Operation Mode Test: Total Loss (watts)","Dual Input Level 2: 15 A Operation Mode Test: Total Loss (watts)","Dual Input Level 2: 4 A Operation Mode Test: Total Loss (watts)","Date Available on Market","Date Certified","Markets","CB Model Identifier"
"3462869","14821530 CANADA INC. DBA FractalEV","FractalEV","FR-482C1DRNAJ","FR-482C1DRNAJ",,,"Level 2","48","240","11.52","1","25","9","7.93","470.5","No",,,,,,,"Radio Frequency Identification (RFID)",,"Yes","Wi-Fi or Gigabit Ethernet,Cellular","4.81","7.45","0.35","4.68","7.45","0.34","5.11","26.65","0.33","13.2","12.6","13","13.2",,,,,,,,,,,,,,"04/24/2024","04/24/2024","United States, Canada","ES_1150419_FR-482C1DRNAJ_03142024123110_4858362"
"3462870","14821530 CANADA INC. DBA FractalEV","FractalEV","FR-802C1DRNAJ","FR-802C1DRNAJ",,,"Level 2","80","240","19.2","1","25","6","7.93","473","No",,,,,,,"Radio Frequency Identification (RFID)",,"Yes","Wi-Fi or Gigabit Ethernet,Cellular","5.21","7.45","0.36","5.09","7.45","0.36","6.37","39.45","0.37","18.5","13.4","13.5","13.7",,,,,,,,,,,,,,"04/24/2024","04/24/2024","United States, Canada","ES_1150419_FR-802C1DRNAJ_04082024152233_429040"
"4512780","14821530 CANADA INC. DBA FractalEV","FractalEV","FR-482E1DRNAK","FR-482E1DRNAK",,,"Level 2","48","240","11.52","1","25","9","7.93","769","No",,,,,,,"High Resolution Display,PLC Board (ISO 15118),Radio Frequency Identification (RFID)",,"Yes","Wi-Fi or Gigabit Ethernet,Cellular","3.57","8.55","0.16","3.83","8.55","0.17","5.37","27.75","0.22","129","58","14","4",,,,,,,,,,,,,,"10/25/2025","10/25/2025","United States, Canada","ES_1150419_FR-482E1DRNAK_10242025133502_4060174"
"4512781","14821530 CANADA INC. DBA FractalEV","FractalEV","FR-802E1DRNAK","FR-802E1DRNAK",,,"Level 2","80","240","19.2","1","25","6","7.93","767","No",,,,,,,"High Resolution Display,PLC Board (ISO 15118),Radio Frequency Identification (RFID)",,"Yes","Wi-Fi or Gigabit Ethernet,Cellular","3.71","8.55","0.17","3.55","0.16","8.55","4.8","40.55","0.19","186","40","6","9",,,,,,,,,,,,,,"10/25/2025","10/25/2025","United States, Canada","ES_1150419_FR-802E1DRNAK_10242025140156_9689142"
"2381863","ABB E-mobility B.V.","ABB","Terra AC Wallbox Charging Station","Terra AC W7-P8-R-CD-0","Terra AC W7-P8-R-D-0, Terra AC W7-P8-R-C-0",,"Level 2","32","240","7.68","1","26","10",,,"No","No",,"Wi-Fi",,,"No",,,"Yes","Wi-Fi or Gigabit Ethernet,Cellular","3.2","3.6","0.37","3.3","3.6","0.38","3.4","16.4","0.37","79.34","72.19","36.15","15.09",,,,,,,,,,,,,,"07/06/2021","07/06/2021","United States, Canada","ES_1146276_Terra AC W7-P8-R-CD-0_07082021143203_1010101"
"2390583","ABB E-mobility B.V.","(ABB)","Terra AC W9-P8-R-*D-*","Terra AC W9-P8-R-*D-*","Terra AC W9-P8-R-*C-#; Terra AC W9-P8-R-*C-##; Terra AC W9-P8-R-*C-###; Terra AC W9-P8-R-*C-####; Terra AC W9-P8-R-*C-#####; Terra AC W9-P8-R-*C-######; Terra AC W9-P8-R-*C-#######; Terra AC W9-P8-R-*C-########; Terra AC W9-P8-R-*C-#########; Terra AC W9-P8-R-*C-##########; Terra AC W9-P8-R-*C-###########; Terra AC W9-P8-R-*C-############; Terra AC W9-P8-R-*D-**; Terra AC W9-P8-R-*D-***; Terra AC W9-P8-R-*D-****; Terra AC W9-P8-R-*D-*****; Terra AC W9-P8-R-*D-******; Terra AC W9-P8-R-*D-*******; Terra AC W9-P8-R-*D-********; Terra AC W9-P8-R-*D-*********; Terra AC W9-P8-R-*D-**********; Terra AC W9-P8-R-*D-***********; Terra AC W9-P8-R-*D-************",,"Level 2","40","240","9.6","1","26","8",,,"No",,,,,,,,,"Yes","Wi-Fi or Gigabit Ethernet,Cellular","2.76","3.6","0.15","2.92","3.6","0.17","9.85","19.6","0.34","67",,,,,,,,,,,,,,,,,"01/17/2022","01/17/2022","United States, Canada","ES_1146276_Terra AC W9-P8-R-D-0_01112022125317_2307245"
"2391533","ABB E-mobility B.V.","(ABB)","Terra AC W9-P8-RD-MCD-0","Terra AC W9-P8-RD-MCD-0",,,"Level 2","40","240","9.6","1","26","8","20.52",,"No",,,,,,,,,"Yes","Wi-Fi or Gigabit Ethernet,Cellular","5.54","5.9","0.26","5.58","5.9","0.26","12.64","21.9","0.38","70",,,,,,,,,,,,,,,,,"01/19/2022","01/19/2022","United States, Canada","ES_1146276_Terra AC W9-P8-RD-MCD-0_01112022134615_8618432"
"2391534","ABB E-mobility B.V.","(ABB)","Terra AC W19-P8-R-*D-*","Terra AC W19-P8-R-*D-*","Terra AC W19-P8-R-*C-#; Terra AC W19-P8-R-*C-##; Terra AC W19-P8-R-*C-###; Terra AC W19-P8-R-*C-####; Terra AC W19-P8-R-*C-#####; Terra AC W19-P8-R-*C-######; Terra AC W19-P8-R-*C-#######; Terra AC W19-P8-R-*C-########; Terra AC W19-P8-R-*C-#########; Terra AC W19-P8-R-*C-##########; Terra AC W19-P8-R-*C-###########; Terra AC W19-P8-R-*C-############; Terra AC W19-P8-R-*D-**; Terra AC W19-P8-R-*D-***; Terra AC W19-P8-R-*D-****; Terra AC W19-P8-R-*D-*****; Terra AC W19-P8-R-*D-******; Terra AC W19-P8-R-*D-*******; Terra AC W19-P8-R-*D-********; Terra AC W19-P8-R-*D-*********; Terra AC W19-P8-R-*D-**********; Terra AC W19-P8-R-*D-***********; Terra AC W19-P8-R-*D-************",,"Level 2","80","240","19.2","1","26","6",,,"No",,,,,,,,,"Yes","Wi-Fi or Gigabit Ethernet,Cellular","2.74","3.6","0.15","2.97","3.6","0.16","9.33","35.6","0.33","177",,,,,,,,,,,,,,,,,"01/19/2022","01/19/2022","United States, Canada","ES_1146276_Terra AC W19-P8-R-D-0_01112022135331_4330865"
"2391536","ABB E-mobility B.V.","(ABB)","Terra AC W19-P8-RD-MCD-0","Terra AC W19-P8-RD-MCD-0",,,"Level 2","80","240","19.2","1","26","6","20.52",,"No",,,,,,,,,"Yes","Wi-Fi or Gigabit Ethernet,Cellular","5.47","5.9","0.26","5.6","5.9","0.26","12.35","37.9","0.37","179",,,,,,,,,,,,,,,,,"01/19/2022","01/19/2022","United States, Canada","ES_1146276_Terra AC W19-P8-RD-MCD-0_01112022140110_3664361"
"2399140","ABB E-mobility B.V.","ABB","Terra AC W9-P8-RD-*CD-*","Terra AC W9-P8-RD-*CD-*","Terra AC W9-P8-RD-*CD-**; Terra AC W9-P8-RD-*CD-***; Terra AC W9-P8-RD-*CD-****; Terra AC W9-P8-RD-*CD-*****; Terra AC W9-P8-RD-*CD-******; Terra AC W9-P8-RD-*CD-*******; Terra AC W9-P8-RD-*CD-********; Terra AC W9-P8-RD-*CD-*********; Terra AC W9-P8-RD-*CD-**********; Terra AC W9-P8-RD-*CD-***********; Terra AC W9-P8-RD-*CD-************; Terra AC W9-P8-RD-*CD-#; Terra AC W9-P8-RD-*CD-##; Terra AC W9-P8-RD-*CD-###; Terra AC W9-P8-RD-*CD-####; Terra AC W9-P8-RD-*CD-#####; Terra AC W9-P8-RD-*CD-######; Terra AC W9-P8-RD-*CD-#######; Terra AC W9-P8-RD-*CD-########; Terra AC W9-P8-RD-*CD-#########; Terra AC W9-P8-RD-*CD-##########; Terra AC W9-P8-RD-*CD-###########; Terra AC W9-P8-RD-*CD-############",,"Level 2","40","240","9.6","1","26","8","20.52","273.4","No",,,,,,,"Radio Frequency Identification (RFID)",,"Yes","Wi-Fi or Gigabit Ethernet","5.65","8.73","0.23","5.78","8.73","0.26","12.77","24.73","0.39","75","52","25","12",,,,,,,,,,,,,,"07/15/2022","07/15/2022","United States, Canada","ES_1146276_Terra AC W9-P8-RD-MCD-0_07132022165040_7744867"
"2399141","ABB E-mobility B.V.","ABB","Terra AC W19-P8-RD-*CD-*","Terra AC W19-P8-RD-*CD-*","Terra AC W19-P8-RD-*CD-**; Terra AC W19-P8-RD-*CD-***; Terra AC W19-P8-RD-*CD-****; Terra AC W19-P8-RD-*CD-*****; Terra AC W19-P8-RD-*CD-******; Terra AC W19-P8-RD-*CD-*******; Terra AC W19-P8-RD-*CD-********; Terra AC W19-P8-RD-*CD-*********; Terra AC W19-P8-RD-*CD-**********; Terra AC W19-P8-RD-*CD-***********; Terra AC W19-P8-RD-*CD-************; Terra AC W19-P8-RD-*CD-#; Terra AC W19-P8-RD-*CD-##; Terra AC W19-P8-RD-*CD-###; Terra AC W19-P8-RD-*CD-####; Terra AC W19-P8-RD-*CD-#####; Terra AC W19-P8-RD-*CD-######; Terra AC W19-P8-RD-*CD-#######; Terra AC W19-P8-RD-*CD-########; Terra AC W19-P8-RD-*CD-#########; Terra AC W19-P8-RD-*CD-##########; Terra AC W19-P8-RD-*CD-###########; Terra AC W19-P8-RD-*CD-############",,"Level 2","80","240","19.2","1","26","6","20.52","273.4","No",,,,,,,"Radio Frequency Identification (RFID)",,"Yes","Wi-Fi or Gigabit Ethernet","5.65","8.73","0.23","5.78","8.73","0.26","12.77","40.73","0.39","207","49","12","13",,,,,,,,,,,,,,"07/18/2022","07/18/2022","United States, Canada","ES_1146276_Terra AC W19-P8-RD-MCD-0_07132022170408_3695184"
"4498537","Aclara Meters, LLC","Hubbell","EV2c","E11A30-0226","E11000-####,#### - Denotes four numbers (month and year); E11A20-####,#### - Denotes four numbers (month and year); E11A30-####,#### - Denotes four numbers (month and year); E21000-####,#### - Denotes four numbers (month and year); E21A20-####,#### - Denotes four numbers (month and year); E21A30-####,#### - Denotes four numbers (month and year); E31000-####,#### - Denotes four numbers (month and year); E31A20-####,#### - Denotes four numbers (month and year); E31A30-####,#### - Denotes four numbers (month and year)",,"Level 2","48","240","11.52","1","24","6",,,"No","Yes","Cellular pcba PN LNIC2B1B information available from manufacturer",,,,,,,"Yes","Cellular","2.1","6","0.32","2.14","6","0.33","2.15","25.2","0.34","130.99","54.1","14.1","3.19",,,,,,,,,,,,,,"09/10/2025","09/10/2025","United States, Canada","ES_1151459_E11A20-0125_091020251854270_2996486"
"3555274","ADC Solution USA, LLC (D.B.A) Horizon Brands","TYPES","AC533489","AC533489",,,"Level 2","40","240","9.6","1","24","9","2.75","261","No",,,,,,,"Radio Frequency Identification (RFID)",,"Yes","Wi-Fi or Gigabit Ethernet,Cellular","3.4","5.35","0.14","4.21","3.43","0.18","5.65","21.35","0.22","108","62","14","3",,,,,,,,,,,,,,"07/24/2024","07/24/2024","United States, Canada","ES_1139746_AC533489_07232024163708_8587610"
"2351104","AddÉnergie Technologies Inc.","FLO","FLO CoRe+","CoRe+","CoRe+ PS",,"Level 2","30","240","7.2","1","25","10",,,"No",,,,,,,,,"Yes","Other LAN (Local Area Network)","3.41","3.6","0.29","3.49","3.6","0.3","4.81","15.6","0.32","87.06","87.06","25.93","6.62",,,,,,,,,,,,,,"12/10/2019","12/10/2019","United States, Canada","ES_1143909_CoRe+_12102019174205_1010101"
"2740374","AddÉnergie Technologies Inc.","Addenergie Technologies Inc","CoRe+ Max","CoRe+ Max","CoRe+ XL",,"Level 2","80","240","19.2","1","24","18",,,"No",,,,,,,"Radio Frequency Identification (RFID)",,"Yes","Cellular","4.65","7.5","0.35","4.91","7.5","0.36","7.12","39.5","0.45","235.3","40.15","15.29","7.6",,,,,,,,,,,,,,"11/20/2023","11/20/2023","United States, Canada","ES_1143909_CoRe+ Max_111420232304609_5548176"
"2765433","AddÉnergie Technologies Inc.","Addenergie Technologies Inc","Core+V2PS","Core+V2PS","Core+V2",,"Level 2","32","240","7.68","1","24","18",,,"No",,,,,,,"Radio Frequency Identification (RFID),Revenue Grade Meter",,"Yes","Cellular","3.4","8.5","0.33","3.45","8.5","0.33","5.26","21.3","0.39","82.89","73.89","22.42","6.55",,,,,,,,,,,,,,"11/21/2023","11/21/2023","United States, Canada","ES_1143909_Core+V2PS_111520230026494_7856199"
"2839336","AddÉnergie Technologies Inc.","Addenergie Technologies Inc","SmartTWO generation 4","SmartTWO generation 4","S2-V4; S2-V4 20; S2-V4 21; S2-V4 22; S2-V4 23; S2-V4 24; S2-V4 25; S2-V4 26; S2-V4 27; S2-V4 28; S2-V4 29",,"Level 2","30","240","7.2","1","24","18",,,"No","No",,,,,,"Radio Frequency Identification (RFID),Revenue Grade Meter",,"Yes","Cellular","3.73","8.5","0.34","5.87","8.5","0.39","5.55","20.5","0.4","76.9",,"23","6.42",,,,,,,,,,,,,,"12/08/2023","12/08/2023","United States, Canada","ES_1143909_SmartTWO generation 4_112120231916466_8032597"
"3543898","AddÉnergie Technologies Inc.","FLO","FLO Home","HOX6F2A1A1","HOX3F0*#*#; HOX3F2*#*#; HOX3N0*#*#; HOX3N2*#*#; HOX6F0*#*#; HOX6N0*#*#; HOX6N2*#*#",,"Level 2","50","240","12","1","25","8",,,"No","No",,,,,,,,"Yes","Wi-Fi or Gigabit Ethernet","2.69","5","0.39","3.02","5","0.39","5.87","25","0.47","160.62","61.47","19.63","6.75",,,,,,,,,,,,,,"06/24/2024","06/24/2024","United States, Canada","ES_15296691_HOX6F2A1A1_061320242108966_8670159"
"3543899","AddÉnergie Technologies Inc.","FLO","FLO Home","HOX8F2A1A1","HOX8F0*#*#",,"Level 2","80","240","19.2","1","25","6",,,"No",,,,,,,,,"Yes","Wi-Fi or Gigabit Ethernet","3.28","5","0.4","3.51","5","0.41","6.71","37","0.48","217.96","34.78","13.52","6.97",,,,,,,,,,,,,,"06/24/2024","06/24/2024","United States, Canada","ES_1143909_HOX8F2A1A1_061320242300604_6352390"
"4005909","American Honda Motor Co., Inc.","HONDA","EMEVSE1","EMEVSE1","EMEVSE1 - C - CA; EMEVSE1 - C - US; EMEVSE1 - D - CA; EMEVSE1 - D - US",,"Level 2","48","240","11.52","1","25","6",,,"No","No",,,,,,,,"Yes","Wi-Fi or Gigabit Ethernet","2.81","3.6","0.37","2.94","3.6","0.37","5.03","22.8","0.45","136.72","56.29","18.07","5.93",,,,,,,,,,,,,,"03/27/2025","03/27/2025","United States, Canada","ES_1150583_EMEVSE1_032720251641845_4020130"
"2404175","American Powerpump","PowerPump","PowerPump","AC5500",,"632275105502","Level 2","40","240","9.6","1","23","8",,,"No",,"OpenADR","Wi-Fi","SAE J1772",,"No",,,"Yes","Wi-Fi or Gigabit Ethernet,Cellular","2.88","3.6","0.16","3","3.6","0.16","3.16","19.6","0.17","133.07","83.87","24.3","4.21",,,,,,,,,,,,,,"11/04/2022","11/04/2022","United States, Canada","ES_1147658_AC5500_110420221415_1010101"
"4587276","American Powerpump","PowerPump","AC5500-G80WBRF4GMP-CM","AC5500-G80WBRF4GMP-CM","AC5500-G40WBRF4GM-CM; AC5500-G40WBRF4GMP-CM; AC5500-G40WBRFM-CM; AC5500-G40WBRFMP-CM; AC5500-G48WBRF4GM-CM; AC5500-G48WBRF4GMP-CM; AC5500-G48WBRFM-CM; AC5500-G48WBRFMP-CM; AC5500-G80WBRF4GM-CM; AC5500-G80WBRFM-CM; AC5500-G80WBRFMP-CM",,"Level 2","80","240","19.2","1","17","3","7.94","28.32","No",,,,,,,"High Resolution Display,PLC Board (ISO 15118),Radio Frequency Identification (RFID),Revenue Grade Meter",,"Yes","Wi-Fi or Gigabit Ethernet,Cellular","5.35","9.32","0.16","5.39","9.32","0.16","9.7","41.32","0.25","213","36","18","13",,,,,,,,,,,,,,"04/20/2026","04/20/2026","United States, Canada","ES_1147658_AC5500-G80WBRF4GMP-CM_04202026095109_8628656"
"2406750","AMPURE","FoMoCo","LJ98-10C823-A followed by one character","LJ98-10C823-A followed by one character",,,"Level 2","48","240","11.52","1","20","6",,,"No","Yes","Open Charge Point Protocol (OCPP)","Wi-Fi","OCPP (v1.6) - Communication towards Backend via WiFi 
SAE J1772 – Communication towards Vehicle (via CP signal)","ISO 21434; 
Ford Security Specification (non-public), including:
  - Bluetooth Security Spec
  - Connected Wallbox Security Requirements
   - Embedded System Applications Specification
  - Operating System Requirements
  - Vehicle to Cloud Security Specification
[You can use this information for the report if required]
A threat analysis and risk assessment (TARA) according to ISO 21434 has been performed. After the risk treatment decision, measures have been assigned, following recommendations of BSI and/or NIST.
“BSI” = „Bundesamt für Sicherheit in der Informationstechnik“; German federal office for security in Information Technology","No",,"None","Yes","Wi-Fi or Gigabit Ethernet","3.2","3.6","0.37","3.36","3.6","0.37","4.09","22.8","0.41","0.48","2.56","3.5","3.71",,,,,,,,,,,,,,"01/12/2023","01/12/2023","United States, Canada","ES_1018435_LJ98-10C823-AC_01102023105312_4906732"
"2697693","AMPURE","Webasto Charging Systems Inc","CSG1SAE-032016","CSG1SAE-032016","CSG1SAE-032017",,"Level 2","32","240","7.68","0","20","10",,,"No","No",,,,,,,,"No","None","2.31","4","0.32","2.43","4","0.33","3.83","16.8","0.4","89.2","74.44","21.22","5.09",,,,,,,,,,,,,,"10/31/2023","10/31/2023","United States, Canada","ES_1018435_CSG1SAE-032016 _102420231735233_4741112"
"2927650","AMPURE","Webasto","TurboConnect","TurboConnect",,,"Level 2","48","240","11.52","1","20","6",,,"No","Yes","Open Charge Point Protocol (OCPP)","Wi-Fi","OCPP (v1.6) - Communication towards Backend via WiFi SAE J1772 – Communication towards Vehicle (via CP signal)","Webasto Security Specification (non-public), including: Connected Wallbox Security Requirements - Embedded System Applications Specification - Operating System Requirements - Vehicle to Cloud Security Specification[You can use this information for the report if required]A threat analysis and risk assessment (TARA) according to ISO 21434 has been performed. After the risk treatment decision, measures have been assigned,","No",,"None","Yes","Wi-Fi or Gigabit Ethernet","3.07","5","0.41","3.97","5","0.44","5.17","24.2","0.47","4.88","4.98","5.05","5.11",,,,,,,,,,,,,,"12/05/2023","12/05/2023","United States, Canada","ES_1018435_TurboConnect_12142023150612_5246240"
"3624237","ASJade Technology Inc.","ASJade Technology Inc","90JX1000-A1421","90JX1000-A1421","90JX1000-A1110,90JX1000-A1210; 90JX1000-A1111,90JX1000-A1111; 90JX1000-A1120,90JX1000-A1120; 90JX1000-A1121,90JX1000-A1121; 90JX1000-A1210,90JX1000-A1210; 90JX1000-A1211,90JX1000-A1211; 90JX1000-A1220,90JX1000-A1220; 90JX1000-A1221,90JX1000-A1221; 90JX1000-A1310,90JX1000-A1310; 90JX1000-A1311,90JX1000-A1311; 90JX1000-A1320,90JX1000-A1320; 90JX1000-A1321,90JX1000-A1321; 90JX1000-A1410,90JX1000-A1410; 90JX1000-A1411,90JX1000-A1411; 90JX1000-A1420,90JX1000-A1420; 90JX1000-A2110,90JX1000-A2110; 90JX1000-A2111,90JX1000-A2111; 90JX1000-A2120,90JX1000-A2120; 90JX1000-A2121,90JX1000-A2121; 90JX1000-A2210,90JX1000-A2210; 90JX1000-A2211,90JX1000-A2211; 90JX1000-A2220,90JX1000-A2220; 90JX1000-A2221,90JX1000-A2221; 90JX1000-A2310,90JX1000-A2310; 90JX1000-A2311,90JX1000-A2311; 90JX1000-A2320,90JX1000-A2320; 90JX1000-A2321,90JX1000-A2321; 90JX1000-A2410,90JX1000-A2410; 90JX1000-A2411,90JX1000-A2411; 90JX1000-A2420,90JX1000-A2420; 90JX1000-A2421,90JX1000-A2421; 90JX1000-A3110,90JX1000-A3110; 90JX1000-A3111,90JX1000-A3111; 90JX1000-A3120,90JX1000-A3120; 90JX1000-A3121,90JX1000-A3121; 90JX1000-A3210,90JX1000-A3210; 90JX1000-A3211,90JX1000-A3211; 90JX1000-A3220,90JX1000-A3220; 90JX1000-A3221,90JX1000-A3221; 90JX1000-A3310,90JX1000-A3310; 90JX1000-A3311,90JX1000-A3311; 90JX1000-A3320,90JX1000-A3320; 90JX1000-A3321,90JX1000-A3321; 90JX1000-A3410,90JX1000-A3410; 90JX1000-A3411,90JX1000-A3411; 90JX1000-A3420,90JX1000-A3420; 90JX1000-A3421,90JX1000-A3421",,"Level 2","80","240","19.2","1","25","6",,,"No",,,,,,,"Radio Frequency Identification (RFID)",",Wi-Fi / Ethernet","Yes","Wi-Fi or Gigabit Ethernet,Cellular","4.31","6.5","0.29","4.81","6.5","0.31","5.12","38.5","0.32","275.76","51.96","26.28","17.6",,,,,,,,,,,,,,"08/14/2024","08/14/2024","United States","ES_1151004_90JX1000-A1421_081420240124778_5664798"
"2393054","Atom Power Inc","PURPL","PURPL Advanced EV Charging","AP3P400-EVSE-3R (AEVBOX2-80-25)","AP3P400-EVSE-1, AEVPED1-80-18, AEVPED1-80-25, AEVPED2-80-18, AEVPED2-80-25, AEVPED1-48-18, AEVPED1-48-25, AEVPED2-48-18, AEVPED2-48-25, AEVBOX1-80-18, AEVBOX1-80-25, AEVBOX2-80-18, AEVBOX1-48-18, AEVBOX1-48-25, AEVBOX2-48-18, AEVBOX2-48-25","1000001","Level 2","80","240","19.2","2","25","8",,,"No",,,,"SAE J1772",,"No",,,"Yes","Wi-Fi or Gigabit Ethernet","1.59","3.1","0.17","1.66","3.1","0.18","1.71","35.1","0.1","444.24","76.27","25.22","10.07",,,,,,,,,,,,,,"02/16/2022","02/16/2022","United States","ES_1146249_780_02162022102530_1010101"
"2397552","Autel Digital Power Co., Ltd.","AUTEL","Maxi US AC W10-N14-H","Maxi US AC W10-N14-H","Maxi US AC W10-N6-H",,"Level 2","40","240","9.6","1","25","10",,,"No",,,,,,,"Radio Frequency Identification (RFID)",,"Yes","Wi-Fi or Gigabit Ethernet","3.33","6.5","0.45","3.41","6.5","0.45","3.56","22.5","0.45","127","64","25","11",,,,,,,,,,,,,,"06/17/2022","06/17/2022","United States, Canada","ES_1147564_Maxi US AC W10-N14-H_06132022141423_7556268"
"2397554","Autel Digital Power Co., Ltd.","AUTEL","Maxi US AC W12-H","Maxi US AC W12-H",,,"Level 2","50","240","12","1","25","9",,,"No",,,,,,,"Radio Frequency Identification (RFID)",,"Yes","Wi-Fi or Gigabit Ethernet","3.21","6.5","0.48","3.28","6.5","0.48","5.32","26.5","0.47","140","57","28","8",,,,,,,,,,,,,,"06/17/2022","06/17/2022","United States, Canada","ES_1147564_Maxi US AC W12-H_06152022094812_8440057"
"2399135","Autel Digital Power Co., Ltd.","AUTEL","Maxi US AC W12","Maxi US AC W12",,,"Level 2","50","240","12","1","25","8",,,"No",,,,,,,"Radio Frequency Identification (RFID)",,"Yes","Wi-Fi or Gigabit Ethernet","3.45","6.5","0.36","3.48","6.5","0.37","5.83","26.5","0.41","150","62","25","16",,,,,,,,,,,,,,"07/22/2022","07/22/2022","United States, Canada","ES_1147564_Maxi US AC W12_07192022131712_6649743"
"2399139","Autel Digital Power Co., Ltd.","AUTEL","Maxi US AC W12-L-4G","Maxi US AC W12-L-4G",,,"Level 2","50","240","12","1","25","8","10.98","25","No",,,,,,,"Radio Frequency Identification (RFID)",,"Yes","Wi-Fi or Gigabit Ethernet,Cellular","4.68","7.61","0.46","4.71","7.61","0.46","6.74","27.61","0.48","154","57","28","15",,,,,,,,,,,,,,"07/15/2022","07/15/2022","United States, Canada","ES_1147564_Maxi US AC W12-L_07142022111857_3078424"
"2404370","Autel Digital Power Co., Ltd.","AUTEL","Maxi US AC LW7-N14","Maxi US AC LW7-N14","Maxi US AC LW7-N6",,"Level 2","32","240","7.68","1","25","10",,,"No",,,,,,,,,"Yes","Wi-Fi or Gigabit Ethernet","3.49","3.6","0.35","3.53","3.6","0.35","5.63","16.4","0.41","84","80","40","10",,,,,,,,,,,,,,"11/11/2022","11/11/2022","United States, Canada","ES_1147564_Maxi US AC LW7-N14_11042022142527_3631250"
"2404371","Autel Digital Power Co., Ltd.","AUTEL","Maxi US AC LW12","Maxi US AC LW12",,,"Level 2","50","240","12","1","25","9",,,"No",,,,,,,"Radio Frequency Identification (RFID)",,"Yes","Wi-Fi or Gigabit Ethernet","3.5","6.5","0.36","3.56","6.5","0.36","5.77","26.5","0.42","168","65","28","18",,,,,,,,,,,,,,"11/11/2022","11/11/2022","United States, Canada","ES_1147564_Maxi US AC LW12_11042022141612_6869317"
"2406576","Autel Digital Power Co., Ltd.","AUTEL","Maxi UF38C001","Maxi UF38C001","Maxi UF38L001",,"Level 2","160","240","38.4","2","23","6","27.2","86","No",,,,,,,"PLC Board (ISO 15118),Radio Frequency Identification (RFID)",,"Yes","Wi-Fi or Gigabit Ethernet","4.03","9.37","0.29","4.17","9.37","0.3","12.13","73.37","0.46","291.33","58.83","29.33","20.83",,,,,,,,,,,,,,"01/06/2023","01/06/2023","United States, Canada","ES_1147564_Maxi UF38C001_01042023144239_6922113"
"2407079","Autel Digital Power Co., Ltd.","AUTEL","Maxi UF19C001","Maxi UF19C001","Maxi UF19L001",,"Level 2","80","240","19.2","1","25","6","27.2","86","No",,,,,,,"PLC Board (ISO 15118),Radio Frequency Identification (RFID)",,"Yes","Wi-Fi or Gigabit Ethernet","6.13","10.23","0.28","6.26","10.23","0.28","14.93","42.23","0.41","283","50","23","15",,,,,,,,,,,,,,"01/19/2023","01/19/2023","United States, Canada","ES_1147564_Maxi UF19C001_01132023095423_2906305"
"2500043","Autel Digital Power Co., Ltd.","AUTEL","Maxi UF19L101","Maxi UF19L101","Maxi UF19C101",,"Level 2","80","240","19.2","1","25","6","27.2","905","No",,,,,,,"High Resolution Display,PLC Board (ISO 15118),Credit Card Reader,Radio Frequency Identification (RFID)",,"Yes","Wi-Fi or Gigabit Ethernet","5.9","16.52","0.27","6.84","16.52","0.28","20.1","48.52","0.42","220","30","30","10",,,,,,,,,,,,,,"05/25/2023","05/25/2023","United States, Canada","ES_1147564_Maxi UF19L101_05242023092805_4881402"
"2500047","Autel Digital Power Co., Ltd.","AUTEL","Maxi UF38L101","Maxi UF38L101","Maxi UF38C101",,"Level 2","160","240","38.4","2","25","6","27.2","905","No",,,,,,,"High Resolution Display,PLC Board (ISO 15118),Credit Card Reader,Radio Frequency Identification (RFID)",,"Yes","Wi-Fi or Gigabit Ethernet","4.77","15.01","0.31","4.72","15.01","0.32","25.9","79.01","0.46","215","45","20","15",,,,,,,,,,,,,,"05/25/2023","05/25/2023","United States, Canada","ES_1147564_Maxi UF38L101_05242023094813_7607843"
